directory	file	line	function	property kind	status	property
.	00187.c	6	main	precondition of fwrite	Unknown	valid_stream: \valid(stream)
.	00187.c	11	main	precondition of fread	Unknown	valid_stream: \valid(stream)
.	00187.c	17	main	precondition of printf_va_2	Unknown	valid_read_string(param0)
.	00187.c	22	main	precondition of fgetc	Unknown	valid_stream: \valid(stream)
.	00187.c	33	main	precondition of getc	Unknown	valid_stream: \valid(stream)
.	00187.c	44	main	precondition of fgets	Unknown	valid_stream: \valid(stream)
.	00187.c	45	main	precondition of printf_va_5	Unknown	valid_read_string(param0)
FRAMAC_SHARE/libc	stdio.h	211	printf_va_2	precondition	Unknown	valid_read_string(param0)
FRAMAC_SHARE/libc	stdio.h	211	printf_va_5	precondition	Unknown	valid_read_string(param0)
FRAMAC_SHARE/libc	stdio.h	260	fgetc	precondition	Unknown	valid_stream: \valid(stream)
FRAMAC_SHARE/libc	stdio.h	268	fgets	precondition	Unknown	valid_stream: \valid(stream)
FRAMAC_SHARE/libc	stdio.h	298	getc	precondition	Unknown	valid_stream: \valid(stream)
FRAMAC_SHARE/libc	stdio.h	354	fread	precondition	Unknown	valid_stream: \valid(stream)
FRAMAC_SHARE/libc	stdio.h	367	fwrite	precondition	Unknown	valid_stream: \valid(stream)
